id,jurisdiction_type_x,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type,jurisdiction_type_y,jeugdstrafrecht
ECLI-NL-RBDHA-2019-9384,['Strafrecht'],den haag,,0,,2019,jun,apr,2019,18.0,0,0,"['cocaine', 'heroine']",['Strafrecht'],1
ECLI-NL-RBMNE-2014-7289,['Strafrecht; Materieel strafrecht'],midden-nederland,,0,,2014,apr,jan,2012,,0,0,"['krokodil', 'hennep', '2c-b', 'mdma', 'amfetamines/metamfetamines', 'methadon', 'xtc', 'mefedron']",,0
ECLI-NL-RBUTR-2008-BG6691,['Strafrecht'],utrecht,,0,,2008,sep,oct,2007,,0,0,"['cocaine', 'mdma', 'xtc']",,0
ECLI-NL-RBNNE-2013-1693,['Strafrecht'],noord-nederland,,0,,2013,feb,sep,2012,,0,0,"['cocaine', 'aceton']",,0
ECLI-NL-RBAMS-2015-3865,['Strafrecht'],amsterdam,,0,,2015,may,dec,2012,,0,0,"['cocaine', 'mdma']",,0
ECLI-NL-RBROT-2014-9162,['Strafrecht'],rotterdam,,0,,2014,sep,mar,2013,,0,0,"['cocaine', 'diacetylmorfine', 'heroine']",,0
ECLI-NL-RBNHO-2022-6623,['Strafrecht'],noord-holland,,0,,2022,jul,jul,2021,,0,0,"['hennep', 'mdma', 'crack', 'amfetamines/metamfetamines', 'cocaine']",,0
ECLI-NL-GHAMS-2016-1885,['Strafrecht'],noord-holland,amsterdam,1,,2016,may,jan,2012,,0,0,"['cocaine', 'hasjiesj', 'hennep']",,0
ECLI-NL-RBZWB-2015-6574,['Strafrecht'],zeeland-west-brabant,,0,,2015,oct,oct,2013,21.0,0,0,"['mdma', 'tenamfetamine', 'amfetamines/metamfetamines', 'xtc', 'cocaine', 'mdea']",,0
ECLI-NL-RBDHA-2015-1971,['Strafrecht'],den haag,,0,,2015,feb,dec,2014,,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-RBAMS-2019-4296,['Strafrecht'],amsterdam,amsterdam,1,,2019,may,sep,2018,,0,0,"['cocaine', 'fenacetine', 'heroine']",,0
ECLI-NL-RBMAA-2010-BM8942,['Strafrecht'],maastricht,,0,,2010,jun,feb,2010,,0,1,"['hennep', 'methanol', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'methadon', 'xtc', 'cocaine', 'mdea']",,0
ECLI-NL-RBMAA-2010-BM8944,['Strafrecht'],maastricht,,0,,2010,jun,jul,2009,,0,1,"['hennep', 'methanol', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'cocaine', 'mdea']",,0
ECLI-NL-RBMAA-2010-BM8946,['Strafrecht'],maastricht,,0,,2010,jun,jun,2010,,0,1,"['hennep', 'methanol', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'mdea']",,0
ECLI-NL-RBLIM-2022-9412,['Strafrecht'],limburg,,0,,2022,nov,feb,2021,,0,1,"['heroine', 'hennep', 'mdma', 'aceton', 'amfetamines/metamfetamines', 'coffeïne', 'cocaine']",,0
ECLI-NL-RBUTR-2011-BQ0665,['Strafrecht'],utrecht,,0,,2011,mar,nov,2010,,0,0,"['mdma', 'amfetamines/metamfetamines', 'ketamine', 'xtc']",,0
ECLI-NL-GHAMS-2019-585,['Strafrecht'],noord-holland,amsterdam,1,amsterdam,2019,feb,dec,2014,,0,0,"['heroine', '2c-b', 'mdma', 'amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-RBUTR-2011-BV5349,['Strafrecht'],utrecht,,0,,2011,nov,jul,2010,,0,1,"['heroine', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'cocaine']",,0
ECLI-NL-RBUTR-2011-BV5471,['Strafrecht'],utrecht,,0,,2011,nov,jul,2010,,0,1,"['heroine', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'cocaine']",,0
ECLI-NL-GHAMS-2018-4059,['Strafrecht'],amsterdam,amsterdam,1,,2018,nov,dec,2015,,0,1,"['ghb', 'gbl', 'mdma', 'amfetamines/metamfetamines', 'xtc', 'cocaine', 'mefedron']",,0
ECLI-NL-RBNNE-2019-167,['Strafrecht'],noord-nederland,,0,,2019,jan,jan,2013,,0,0,"['cocaine', 'amfetamines/metamfetamines', 'hennep']",,0
ECLI-NL-GHAMS-2017-4817,['Strafrecht'],amsterdam,amsterdam,1,amsterdam,2017,nov,oct,2016,,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-RBAMS-2015-3864,['Strafrecht'],amsterdam,,0,,2015,may,dec,2012,,0,0,"['cocaine', 'mdma', 'xtc']",,0
ECLI-NL-RBLIM-2022-9411,['Strafrecht'],limburg,,0,,2022,nov,feb,2021,,0,1,"['heroine', 'hennep', 'mdma', 'aceton', 'amfetamines/metamfetamines', 'coffeïne', 'cocaine']",,0
ECLI-NL-GHAMS-2022-3125,['Strafrecht'],noord-holland,amsterdam,1,hoofddorp,2022,nov,apr,2018,,0,1,"['mdma', 'fentanyl', 'amfetamines/metamfetamines', 'xtc', 'cocaine']",,0
ECLI-NL-RBROT-2019-5629,['Strafrecht'],rotterdam,,0,,2019,jul,nov,2018,,0,0,"['heroine', 'hennep', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'cocaine']",,0
ECLI-NL-RBZUT-2008-BG8223,['Strafrecht'],zutphen,,0,,2008,dec,sep,2007,,0,0,"['diacetylmorfine', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBSHE-2010-BO6588,['Strafrecht'],'s-hertogenbosch,,0,,2010,dec,nov,2010,,0,0,"['hennep', 'methanol', 'benzylmethylketon', 'bmk', 'mierenzuur', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBOVE-2014-6488,['Strafrecht'],overijssel,,0,,2014,dec,oct,2012,,0,0,"['ghb', 'hennep', 'mdma', 'tenamfetamine', 'hasjiesj', 'amfetamines/metamfetamines', 'xtc', 'cocaine', 'mdea']",,0
ECLI-NL-RBROT-2022-9457,['Strafrecht'],rotterdam,,0,,2022,nov,oct,2022,,0,0,['cocaine'],,0
ECLI-NL-GHDHA-2013-3408,['Strafrecht'],rotterdam,den haag,1,,2013,apr,aug,2009,,0,0,"['cocaine', 'amfetamines/metamfetamines', 'hennep']",,0
ECLI-NL-RBNHO-2020-2753,['Strafrecht'],noord-holland,,0,,2020,apr,jul,2018,,0,0,"['heroine', 'mdma', 'crack', 'xtc', 'cocaine']",,0
ECLI-NL-RBUTR-2008-BC8607,['Strafrecht'],utrecht,,0,,2008,apr,jan,2004,,0,1,"['cocaine', 'mdma', 'amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-RBAMS-2017-4741,['Strafrecht'],amsterdam,,0,amsterdam,2017,jul,mar,2017,21.0,0,0,"['cocaine', '2c-b', 'mdma', 'amfetamines/metamfetamines']",,0
ECLI-NL-GHAMS-2019-587,['Strafrecht'],noord-holland,amsterdam,1,,2019,feb,sep,2012,22.0,0,0,"['cocaine', '2c-b', 'mdma', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBOBR-2013-BZ9550,['Strafrecht'],oost-brabant,,0,,2013,may,nov,2012,,0,0,['heroine'],,0
ECLI-NL-RBOBR-2018-1915,['Strafrecht'],oost-brabant,,0,,2018,apr,may,2016,,0,0,"['mierenzuur', 'bmk', 'amfetamines/metamfetamines', 'formamide']",,0
ECLI-NL-GHAMS-2000-AE9770,['Strafrecht'],.,amsterdam,1,,2000,jan,nov,1998,,0,1,"['pmk', 'mdma', 'aceton', 'bmk', 'amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-RBNHO-2020-2746,['Strafrecht'],noord-holland,,0,,2020,apr,feb,2018,,0,1,"['heroine', 'mdma', 'crack', 'xtc', 'cocaine']",,0
ECLI-NL-RBNHO-2020-2747,['Strafrecht'],noord-holland,,0,,2020,apr,may,2018,,0,1,"['heroine', 'mdma', 'crack', 'xtc', 'cocaine']",,0
ECLI-NL-RBNHO-2020-2748,['Strafrecht'],noord-holland,,0,,2020,apr,may,2018,,0,1,"['heroine', 'mdma', 'crack', 'xtc', 'cocaine']",,0
ECLI-NL-GHSHE-2018-2676,['Strafrecht'],oost-brabant,'s-hertogenbosch,1,,2018,jun,oct,2012,,0,0,"['pmk', 'mdma', 'aceton', 'bmk', 'amfetamines/metamfetamines', 'mefedron']",,0
ECLI-NL-RBNNE-2017-641,['Strafrecht'],noord-nederland,,0,emmen,2017,feb,jul,2016,,0,0,"['cocaine', 'mdma', 'amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-RBOBR-2015-1453,['Strafrecht'],oost-brabant,,0,,2015,mar,jul,2014,,0,0,"['mdma', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBAMS-2017-6173,['Strafrecht'],amsterdam,,0,,2017,aug,oct,2013,,0,0,"['cocaine', 'mdma']",,0
ECLI-NL-RBROT-2019-5628,['Strafrecht'],rotterdam,,0,,2019,jul,nov,2018,,0,0,"['heroine', 'hennep', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'xtc', 'cocaine']",,0
ECLI-NL-RBDHA-2022-3510,['Strafrecht'],den haag,,0,,2022,apr,jan,2022,,0,0,"['cocaine', 'mdma']",,0
ECLI-NL-GHSGR-2004-AO7896,['Strafrecht'],'s-gravenhage,te,1,,2004,apr,mar,2004,,0,0,"['hennep', 'methanol', 'mierenzuur', 'amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-RBOBR-2018-1667,['Strafrecht'],oost-brabant,,0,,2018,apr,mar,2018,,0,0,"['pmk', 'hennep', 'methanol', 'mdma', 'aceton', 'bmk', 'mierenzuur', 'formamide', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBOVE-2022-1125,['Strafrecht'],overijssel,-arnhem-leeuwarden,1,,2022,apr,feb,2021,,0,1,"['cocaine', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBSGR-2012-BX6161,['Strafrecht'],'s-gravenhage,,0,,2012,aug,mar,2011,,0,0,"['diacetylmorfine', 'heroine', 'amfetamines/metamfetamines', 'methadon', 'cocaine']",,0
