id,jurisdiction_type,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type
ECLI-NL-RBDHA-2019-9384,['Strafrecht'],den haag,,0,gouda,2019,jun,apr,2019,18.0,0,0,cocaine
ECLI-NL-RBDHA-2019-9384,['Strafrecht'],den haag,,0,gouda,2019,jun,apr,2019,18.0,0,0,heroine
ECLI-NL-GHAMS-2020-1930,['Strafrecht'],amsterdam,amsterdam,1,amsterdam,2020,jul,apr,2019,17.0,1,0,cocaine
ECLI-NL-GHAMS-2022-115,['Strafrecht'],noord-holland,amsterdam,1,hoofddorp,2022,jan,jul,2020,19.0,0,0,hennep
ECLI-NL-GHAMS-2022-115,['Strafrecht'],noord-holland,amsterdam,1,hoofddorp,2022,jan,jul,2020,19.0,0,0,hasjiesj
ECLI-NL-RBNNE-2023-118,['Strafrecht'],noord-nederland,,0,roden,2023,jan,feb,2022,20.0,0,0,mdma
ECLI-NL-RBNNE-2023-118,['Strafrecht'],noord-nederland,,0,roden,2023,jan,feb,2022,20.0,0,0,xtc
ECLI-NL-RBNNE-2023-118,['Strafrecht'],noord-nederland,,0,roden,2023,jan,feb,2022,20.0,0,0,hennep
ECLI-NL-RBNNE-2023-118,['Strafrecht'],noord-nederland,,0,roden,2023,jan,feb,2022,20.0,0,0,hasjiesj
ECLI-NL-RBNNE-2023-118,['Strafrecht'],noord-nederland,,0,roden,2023,jan,feb,2022,20.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBNNE-2023-118,['Strafrecht'],noord-nederland,,0,roden,2023,jan,feb,2022,20.0,0,0,temazepam
ECLI-NL-RBROT-2019-4815,['Strafrecht'],rotterdam,,0,meer,2019,feb,nov,2018,17.0,1,0,mdma
ECLI-NL-RBROT-2019-4815,['Strafrecht'],rotterdam,,0,meer,2019,feb,nov,2018,17.0,1,0,cocaine
ECLI-NL-RBROT-2019-4815,['Strafrecht'],rotterdam,,0,meer,2019,feb,nov,2018,17.0,1,0,amfetamines/metamfetamines
ECLI-NL-RBROT-2019-4815,['Strafrecht'],rotterdam,,0,meer,2019,feb,nov,2018,17.0,1,0,heroine
ECLI-NL-RBAMS-2019-5301,['Strafrecht'],amsterdam,,0,amsterdam,2019,jul,jan,2016,,0,0,cocaine
ECLI-NL-RBAMS-2019-5301,['Strafrecht'],amsterdam,,0,amsterdam,2019,jul,jan,2016,,0,0,crack
ECLI-NL-RBAMS-2019-5301,['Strafrecht'],amsterdam,,0,amsterdam,2019,jul,jan,2016,,0,0,xtc
ECLI-NL-RBAMS-2019-5301,['Strafrecht'],amsterdam,,0,amsterdam,2019,jul,jan,2016,,0,0,heroine
ECLI-NL-OGHACMB-2018-269,['Strafrecht'],,,0,,2018,feb,jan,2017,,0,0,hennep
ECLI-NL-OGHACMB-2018-269,['Strafrecht'],,,0,,2018,feb,jan,2017,,0,0,cocaine
ECLI-NL-RBMNE-2022-4093,['Strafrecht'],midden-nederland,,0,lelystad,2022,oct,jul,2021,,0,1,hennep
ECLI-NL-RBMNE-2022-4093,['Strafrecht'],midden-nederland,,0,lelystad,2022,oct,jul,2021,,0,1,heroine
ECLI-NL-RBMNE-2022-4093,['Strafrecht'],midden-nederland,,0,lelystad,2022,oct,jul,2021,,0,1,cocaine
ECLI-NL-RBDHA-2020-5856,['Strafrecht'],den haag,,0,s-gravenhage,2020,jun,jul,2019,15.0,1,0,mdma
ECLI-NL-RBDHA-2020-5856,['Strafrecht'],den haag,,0,s-gravenhage,2020,jun,jul,2019,15.0,1,0,xtc
ECLI-NL-RBDHA-2022-7934,['Strafrecht'],den haag,,0,den haag,2022,may,oct,2020,18.0,0,0,hennep
